,latitude,longitude,cell_id,category
0,-53.1458333333251,-70.91249999999926,10,lights_no_people
1,-51.72916666665842,-72.4958333333326,10,lights_no_people
2,-51.57083333332509,-72.22083333333259,10,lights_no_people
3,-51.529166666658426,-72.33749999999927,10,lights_no_people
4,-50.33749999999175,-72.27083333333259,10,lights_no_people
5,-54.81249999999178,-68.3291666666659,11,lights_no_people
6,-53.77916666665844,-67.72916666666589,11,lights_no_people
7,-52.73749999999177,-68.56249999999923,11,lights_no_people
8,-51.62916666665843,-69.24583333333257,11,lights_no_people
9,-50.00416666665841,-68.5291666666659,11,lights_no_people
10,-59.01249999999181,-26.54583333333228,15,lights_no_people
11,-46.58749999999171,-70.92916666666592,47,lights_no_people
12,-46.54583333332504,-71.62916666666592,47,lights_no_people
13,-45.67916666665837,-70.26249999999925,47,lights_no_people
14,-45.57916666665837,-72.06249999999926,47,lights_no_people
15,-45.39583333332503,-72.6958333333326,47,lights_no_people
16,-43.112499999991684,-73.6208333333326,47,lights_no_people
17,-43.087499999991685,-71.47083333333259,47,lights_no_people
18,-42.90416666665835,-71.32083333333259,47,lights_no_people
19,-42.47083333332501,-73.77916666666594,47,lights_no_people
20,-41.96249999999168,-71.53749999999926,47,lights_no_people
21,-41.86249999999168,-73.8208333333326,47,lights_no_people
22,-41.46249999999167,-72.95416666666593,47,lights_no_people
23,-41.38749999999167,-72.91249999999927,47,lights_no_people
24,-41.32916666665834,-72.97916666666593,47,lights_no_people
25,-41.145833333325,-71.31249999999926,47,lights_no_people
26,-41.11249999999167,-71.42083333333258,47,lights_no_people
27,-40.754166666658335,-71.65416666666593,47,lights_no_people
28,-40.570833333325,-73.1458333333326,47,lights_no_people
29,-40.295833333325,-73.07916666666593,47,lights_no_people
30,-40.13749999999166,-71.32083333333259,47,lights_no_people
31,-49.987499999991726,-68.92083333333257,48,lights_no_people
32,-49.30416666665839,-67.74583333333256,48,lights_no_people
33,-47.745833333325045,-65.90416666666589,48,lights_no_people
34,-46.78749999999171,-67.96249999999922,48,lights_no_people
35,-46.53749999999171,-68.9291666666659,48,lights_no_people
36,-46.44583333332504,-67.53749999999923,48,lights_no_people
37,-45.85416666665837,-67.52083333333256,48,lights_no_people
38,-45.74583333332504,-68.29583333333257,48,lights_no_people
39,-45.5874999999917,-69.07083333333257,48,lights_no_people
40,-43.29583333332502,-65.09583333333254,48,lights_no_people
41,-43.28749999999168,-65.50416666666588,48,lights_no_people
42,-43.25416666665835,-65.3124999999992,48,lights_no_people
43,-42.76249999999168,-65.04583333333254,48,lights_no_people
44,-41.60416666665834,-65.36249999999922,48,lights_no_people
45,-41.32916666665834,-69.5541666666659,48,lights_no_people
46,-40.80416666665833,-62.99583333333253,48,lights_no_people
47,-40.80416666665833,-65.08749999999921,48,lights_no_people
48,-40.72916666665833,-64.95416666666587,48,lights_no_people
49,-40.095833333325,-64.46249999999921,48,lights_no_people
50,-42.99583333332502,147.31250000000222,69,people_no_lights
51,-42.77916666665835,147.25416666666888,69,people_no_lights
52,-44.38749999999169,171.2125000000024,72,people_no_lights
53,-43.89583333332502,171.74583333333572,72,people_no_lights
54,-41.52083333332501,173.94583333333574,72,people_no_lights
55,-41.29583333332501,174.7291666666691,72,people_no_lights
56,-41.11249999999167,175.0791666666691,72,people_no_lights
57,-40.945833333325,175.65416666666908,72,people_no_lights
58,-40.895833333325,174.99583333333575,72,people_no_lights
59,-40.620833333325,175.28750000000244,72,people_no_lights
60,-38.63749999999165,-72.68749999999926,84,people_no_lights
61,-37.0291666666583,-73.5208333333326,84,people_no_lights
62,-36.8791666666583,-72.97916666666593,84,people_no_lights
63,-36.7791666666583,-73.18749999999926,84,people_no_lights
64,-36.68749999999163,-72.02916666666593,84,people_no_lights
65,-36.66249999999163,-72.39583333333259,84,people_no_lights
66,-36.63749999999163,-73.10416666666593,84,people_no_lights
67,-35.45416666665829,-71.55416666666592,84,people_no_lights
68,-35.345833333324954,-71.63749999999925,84,people_no_lights
69,-34.10416666665828,-70.87083333333258,84,people_no_lights
70,-33.78749999999161,-70.81249999999925,84,people_no_lights
71,-33.67083333332494,-71.47083333333259,84,people_no_lights
72,-33.47083333332495,-70.44583333333259,84,people_no_lights
73,-33.43749999999161,-70.92083333333258,84,people_no_lights
74,-33.16249999999161,-71.08749999999925,84,people_no_lights
75,-33.12083333332494,-71.69583333333259,84,people_no_lights
76,-33.079166666658274,-71.37916666666592,84,people_no_lights
77,-32.795833333324936,-71.13749999999925,84,people_no_lights
78,-32.704166666658274,-70.81249999999925,84,people_no_lights
79,-39.94583333332499,-71.07916666666591,84,lights_no_people
80,-39.829166666658324,-73.23749999999927,84,lights_no_people
81,-39.28749999999165,-72.22083333333259,84,lights_no_people
82,-39.27083333332499,-71.97083333333259,84,lights_no_people
83,-38.88749999999165,-70.00416666666591,84,lights_no_people
84,-38.52916666665831,-72.4458333333326,84,lights_no_people
85,-38.22916666665831,-72.33749999999927,84,lights_no_people
86,-37.804166666658304,-72.6958333333326,84,lights_no_people
87,-37.71249999999164,-72.2458333333326,84,lights_no_people
88,-37.595833333324975,-73.66249999999927,84,lights_no_people
89,-37.50416666665831,-72.6708333333326,84,lights_no_people
90,-37.462499999991635,-72.35416666666593,84,lights_no_people
91,-37.462499999991635,-73.35416666666593,84,lights_no_people
92,-37.37083333332497,-70.27083333333258,84,lights_no_people
93,-37.27083333332497,-72.72083333333259,84,lights_no_people
94,-37.212499999991635,-73.22916666666593,84,lights_no_people
95,-37.03749999999164,-72.40416666666593,84,lights_no_people
96,-37.0041666666583,-73.17916666666594,84,lights_no_people
97,-36.420833333324964,-71.96249999999927,84,lights_no_people
98,-36.13749999999163,-71.82916666666593,84,lights_no_people
99,-35.96249999999163,-72.32916666666593,84,lights_no_people
100,-35.83749999999163,-71.60416666666592,84,lights_no_people
101,-35.59583333332496,-71.72083333333259,84,lights_no_people
102,-35.33749999999162,-72.4208333333326,84,lights_no_people
103,-35.095833333324954,-71.28749999999926,84,lights_no_people
104,-34.970833333324954,-71.22916666666592,84,lights_no_people
105,-34.87083333332495,-71.14583333333259,84,lights_no_people
106,-34.57916666665828,-70.98749999999926,84,lights_no_people
107,-34.404166666658284,-70.87083333333258,84,lights_no_people
108,-34.38749999999162,-72.01249999999926,84,lights_no_people
109,-34.27083333332495,-70.81249999999925,84,lights_no_people
110,-34.187499999991616,-70.65416666666592,84,lights_no_people
111,-34.09583333332495,-70.46249999999925,84,lights_no_people
112,-33.98749999999161,-70.69583333333259,84,lights_no_people
113,-33.679166666658276,-71.21249999999925,84,lights_no_people
114,-33.61249999999161,-71.62916666666592,84,lights_no_people
115,-33.40416666665828,-71.14583333333259,84,lights_no_people
116,-33.36249999999161,-71.67916666666592,84,lights_no_people
117,-33.32083333332494,-70.52916666666592,84,lights_no_people
118,-33.22916666665827,-70.68749999999925,84,lights_no_people
119,-32.829166666658274,-70.59583333333258,84,lights_no_people
120,-32.82083333332494,-70.96249999999925,84,lights_no_people
121,-32.74583333332494,-71.49583333333258,84,lights_no_people
122,-32.637499999991604,-71.43749999999926,84,lights_no_people
123,-32.62916666665827,-70.72083333333258,84,lights_no_people
124,-32.445833333324934,-71.23749999999926,84,lights_no_people
125,-32.12916666665827,-71.52083333333259,84,lights_no_people
126,-31.904166666658266,-71.50416666666592,84,lights_no_people
127,-31.629166666658264,-71.17916666666592,84,lights_no_people
128,-30.595833333324926,-71.19583333333259,84,lights_no_people
129,-30.237499999991588,-71.08749999999925,84,lights_no_people
130,-30.012499999991586,-70.70416666666591,84,lights_no_people
131,-33.520833333324944,-60.30416666666584,85,people_no_lights
132,-33.19583333332494,-60.42083333333251,85,people_no_lights
133,-33.18749999999161,-60.754166666665846,85,people_no_lights
134,-32.92083333332494,-68.96249999999924,85,people_no_lights
135,-32.90416666665827,-68.5541666666659,85,people_no_lights
136,-32.85416666665827,-60.80416666666585,85,people_no_lights
137,-31.74583333332493,-68.4541666666659,85,people_no_lights
138,-31.595833333324933,-68.67083333333257,85,people_no_lights
139,-31.52083333332493,-64.07916666666587,85,people_no_lights
140,-31.504166666658264,-64.30416666666586,85,people_no_lights
141,-31.312499999991594,-64.07916666666587,85,people_no_lights
142,-39.50416666665832,-62.68749999999919,85,lights_no_people
143,-39.420833333324985,-65.70416666666588,85,lights_no_people
144,-39.30416666665832,-65.76249999999922,85,lights_no_people
145,-39.28749999999165,-65.66249999999921,85,lights_no_people
146,-39.104166666658315,-67.08749999999922,85,lights_no_people
147,-39.02916666665831,-67.5791666666659,85,lights_no_people
148,-38.98749999999165,-64.09583333333254,85,lights_no_people
149,-38.98749999999165,-67.83749999999922,85,lights_no_people
150,-38.979166666658315,-61.30416666666585,85,lights_no_people
151,-38.945833333324984,-68.2291666666659,85,lights_no_people
152,-38.92916666665832,-69.22083333333256,85,lights_no_people
153,-38.92083333332498,-68.09583333333256,85,lights_no_people
154,-38.87083333332498,-62.08749999999919,85,lights_no_people
155,-38.854166666658315,-60.07916666666584,85,lights_no_people
156,-38.820833333324984,-62.69583333333253,85,lights_no_people
157,-38.729166666658315,-62.270833333332526,85,lights_no_people
158,-38.72083333332498,-61.287499999999184,85,lights_no_people
159,-38.37083333332498,-60.279166666665844,85,lights_no_people
160,-38.33749999999164,-68.79583333333257,85,lights_no_people
161,-38.12916666665831,-61.795833333332524,85,lights_no_people
162,-38.095833333324975,-62.229166666665854,85,lights_no_people
163,-38.02083333332497,-60.10416666666584,85,lights_no_people
164,-37.97916666665831,-61.36249999999919,85,lights_no_people
165,-37.870833333324974,-67.80416666666589,85,lights_no_people
166,-37.76249999999164,-67.72083333333256,85,lights_no_people
167,-37.68749999999164,-63.1624999999992,85,lights_no_people
168,-37.595833333324975,-62.41249999999919,85,lights_no_people
169,-37.54583333332497,-60.80416666666585,85,lights_no_people
170,-37.53749999999164,-62.770833333332526,85,lights_no_people
171,-37.462499999991635,-61.92916666666585,85,lights_no_people
172,-37.462499999991635,-68.29583333333257,85,lights_no_people
173,-37.38749999999164,-68.92083333333257,85,lights_no_people
174,-37.37083333332497,-64.60416666666588,85,lights_no_people
175,-37.337499999991635,-69.26249999999924,85,lights_no_people
176,-37.29583333332497,-69.07083333333257,85,lights_no_people
177,-37.24583333332497,-61.262499999999186,85,lights_no_people
178,-37.17083333332497,-62.75416666666586,85,lights_no_people
179,-37.14583333332497,-69.66249999999924,85,lights_no_people
180,-37.1291666666583,-63.67083333333253,85,lights_no_people
181,-37.054166666658304,-61.93749999999919,85,lights_no_people
182,-36.895833333324966,-60.32083333333251,85,lights_no_people
183,-36.74583333332497,-62.962499999999196,85,lights_no_people
184,-36.62083333332497,-64.29583333333254,85,lights_no_people
185,-36.587499999991635,-61.75416666666585,85,lights_no_people
186,-36.454166666658296,-62.862499999999194,85,lights_no_people
187,-36.354166666658294,-60.00416666666584,85,lights_no_people
188,-36.295833333324964,-61.729166666665854,85,lights_no_people
189,-36.26249999999163,-63.1624999999992,85,lights_no_people
190,-36.229166666658294,-61.12083333333251,85,lights_no_people
191,-36.21249999999163,-65.4374999999992,85,lights_no_people
192,-36.0541666666583,-63.57083333333253,85,lights_no_people
193,-36.02083333332496,-60.00416666666584,85,lights_no_people
194,-35.97083333332496,-62.737499999999194,85,lights_no_people
195,-35.90416666665829,-64.29583333333254,85,lights_no_people
196,-35.81249999999163,-61.89583333333252,85,lights_no_people
197,-35.65416666665829,-63.7624999999992,85,lights_no_people
198,-35.62083333332496,-61.36249999999919,85,lights_no_people
